,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,passenger_group,passenger_num,deck,num,side,First Name,Last Name,total_passenger,total_expense,with_family
2380,2558_03,Mars,False,F/525/P,TRAPPIST-1e,55.0,False,403.0,0.0,922.0,0.0,0.0,Wor Katte,True,2558,3,F,525,P,Wor,Katte,4,1325.0,1
2381,2558_04,Mars,True,F/525/P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Barave Katte,True,2558,4,F,525,P,Barave,Katte,4,0.0,1
2383,2560_01,Earth,True,G/412/P,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,Pennie Loway,True,2560,1,G,412,P,Pennie,Loway,3,0.0,1
2384,2560_02,Earth,False,G/412/P,TRAPPIST-1e,21.0,False,882.0,0.0,0.0,,0.0,Herina Loway,False,2560,2,G,412,P,Herina,Loway,3,882.0,1
2385,2560_03,Earth,False,G/412/P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Ireene Loway,False,2560,3,G,412,P,Ireene,Loway,3,0.0,1
2387,2562_01,Mars,True,F/526/P,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,Con Brele,True,2562,1,F,526,P,Con,Brele,2,0.0,1
2388,2562_02,Mars,False,F/526/P,TRAPPIST-1e,20.0,False,2502.0,0.0,96.0,0.0,0.0,Snoles Brele,False,2562,2,F,526,P,Snoles,Brele,2,2598.0,1
2390,2565_01,Mars,True,F/527/P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Miloss Lepie,True,2565,1,F,527,P,Miloss,Lepie,2,0.0,1
2391,2565_02,Mars,False,E/155/P,TRAPPIST-1e,32.0,False,598.0,0.0,138.0,0.0,624.0,Koops Lepie,False,2565,2,E,155,P,Koops,Lepie,2,1360.0,1
2393,2572_01,Europa,True,C/93/S,55 Cancri e,21.0,False,0.0,0.0,0.0,0.0,0.0,Sheratz Suptibler,True,2572,1,C,93,S,Sheratz,Suptibler,2,0.0,1
2394,2572_02,Europa,True,C/93/S,55 Cancri e,56.0,True,0.0,0.0,0.0,0.0,0.0,Spuri Suptibler,True,2572,2,C,93,S,Spuri,Suptibler,2,0.0,1
2399,2581_01,Earth,False,E/156/P,TRAPPIST-1e,20.0,False,496.0,20.0,16.0,0.0,254.0,Eulah Conney,False,2581,1,E,156,P,Eulah,Conney,2,786.0,1
2400,2581_02,Earth,False,F/531/P,TRAPPIST-1e,22.0,False,26.0,0.0,0.0,0.0,733.0,Ianya Conney,False,2581,2,F,531,P,Ianya,Conney,2,759.0,1
2404,2589_01,Europa,True,C/91/P,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Alasmon Meteet,True,2589,1,C,91,P,Alasmon,Meteet,5,0.0,1
2405,2589_02,Europa,True,C/91/P,55 Cancri e,50.0,False,0.0,0.0,0.0,0.0,0.0,Alphact Meteet,True,2589,2,C,91,P,Alphact,Meteet,5,0.0,1
2406,2589_03,Europa,False,C/91/P,TRAPPIST-1e,26.0,False,0.0,8150.0,0.0,3508.0,99.0,,False,2589,3,C,91,P,,,5,11757.0,0
2407,2589_04,Europa,False,C/91/P,TRAPPIST-1e,30.0,True,0.0,632.0,0.0,673.0,2272.0,Weias Meteet,False,2589,4,C,91,P,Weias,Meteet,5,3577.0,1
2408,2589_05,Europa,True,C/91/P,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,Duhra Meteet,True,2589,5,C,91,P,Duhra,Meteet,5,0.0,1
2409,2590_01,Earth,False,G/420/P,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,Jeane River,False,2590,1,G,420,P,Jeane,River,3,0.0,1
2410,2590_02,Earth,False,G/420/P,TRAPPIST-1e,45.0,False,406.0,148.0,285.0,0.0,0.0,Benew River,False,2590,2,G,420,P,Benew,River,3,839.0,1
2411,2590_03,Earth,True,G/420/P,PSO J318.5-22,35.0,False,0.0,0.0,0.0,0.0,0.0,Judya River,True,2590,3,G,420,P,Judya,River,3,0.0,1
2412,2591_01,Earth,False,F/499/S,PSO J318.5-22,18.0,False,9.0,419.0,0.0,201.0,7.0,Adammy Coolerson,False,2591,1,F,499,S,Adammy,Coolerson,2,636.0,1
2413,2591_02,Earth,False,G/413/S,TRAPPIST-1e,23.0,False,0.0,121.0,0.0,568.0,128.0,Breney Coolerson,False,2591,2,G,413,S,Breney,Coolerson,2,817.0,1
2414,2592_01,Mars,False,D/75/P,TRAPPIST-1e,29.0,True,803.0,0.0,0.0,58.0,0.0,Conk Flé,False,2592,1,D,75,P,Conk,Flé,2,861.0,1
2415,2592_02,Mars,False,D/75/P,TRAPPIST-1e,18.0,False,1102.0,9.0,2628.0,0.0,0.0,Cindee Flé,False,2592,2,D,75,P,Cindee,Flé,2,3739.0,1
2418,2595_01,Mars,False,F/533/P,55 Cancri e,0.0,False,0.0,0.0,0.0,0.0,0.0,Lies Cakie,True,2595,1,F,533,P,Lies,Cakie,4,0.0,1
2419,2595_02,Mars,,F/533/P,TRAPPIST-1e,4.0,False,0.0,0.0,0.0,0.0,0.0,Ban Cakie,True,2595,2,F,533,P,Ban,Cakie,4,0.0,1
2420,2595_03,Mars,False,D/76/P,TRAPPIST-1e,28.0,False,938.0,61.0,0.0,53.0,4.0,Res Fle,False,2595,3,D,76,P,Res,Fle,4,1056.0,1
2421,2595_04,Mars,False,F/533/P,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,Treynx Fle,True,2595,4,F,533,P,Treynx,Fle,4,0.0,1
2422,2596_01,Mars,False,D/77/P,TRAPPIST-1e,20.0,False,59.0,0.0,1646.0,1657.0,0.0,Pon Stpie,False,2596,1,D,77,P,Pon,Stpie,2,3362.0,0
2423,2596_02,Mars,True,F/534/P,TRAPPIST-1e,20.0,False,0.0,0.0,0.0,0.0,0.0,Carde Kniva,True,2596,2,F,534,P,Carde,Kniva,2,0.0,0
2424,2597_01,Mars,True,F/500/S,TRAPPIST-1e,25.0,False,0.0,0.0,0.0,0.0,0.0,Want Jamai,True,2597,1,F,500,S,Want,Jamai,2,0.0,1
2425,2597_02,,False,F/500/S,55 Cancri e,31.0,False,995.0,7.0,1213.0,0.0,687.0,Pikes Jamai,False,2597,2,F,500,S,Pikes,Jamai,2,2902.0,1
2429,2602_01,Mars,True,E/158/P,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Oakes Seche,False,2602,1,E,158,P,Oakes,Seche,3,0.0,1
2430,2602_02,Mars,False,E/158/P,55 Cancri e,0.0,False,0.0,0.0,0.0,0.0,0.0,Aptal Chnik,True,2602,2,E,158,P,Aptal,Chnik,3,0.0,0
2431,2602_03,Mars,True,E/158/P,TRAPPIST-1e,25.0,False,0.0,0.0,0.0,0.0,0.0,Unch Seche,False,2602,3,E,158,P,Unch,Seche,3,0.0,1
2433,2606_01,Earth,False,F/537/P,TRAPPIST-1e,,False,900.0,0.0,0.0,0.0,1.0,Garion Dawsoncis,False,2606,1,F,537,P,Garion,Dawsoncis,2,901.0,1
2434,2606_02,Earth,False,F/537/P,TRAPPIST-1e,45.0,False,10.0,16.0,801.0,73.0,,Claura Dawsoncis,False,2606,2,F,537,P,Claura,Dawsoncis,2,900.0,1
2435,2607_01,Europa,True,B/99/S,TRAPPIST-1e,63.0,False,0.0,0.0,0.0,0.0,0.0,Homamin Brakepined,True,2607,1,B,99,S,Homamin,Brakepined,4,0.0,1
2436,2607_02,Europa,True,B/99/S,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Zedark Brakepined,True,2607,2,B,99,S,Zedark,Brakepined,4,0.0,1
2437,2607_03,Europa,False,B/99/S,55 Cancri e,35.0,False,0.0,1471.0,2.0,445.0,533.0,Hekaron Brakepined,True,2607,3,B,99,S,Hekaron,Brakepined,4,2451.0,1
2438,2607_04,Europa,False,B/99/S,TRAPPIST-1e,12.0,False,0.0,0.0,0.0,0.0,0.0,Ainoxa Plattering,True,2607,4,B,99,S,Ainoxa,Plattering,4,0.0,0
2446,2625_01,Earth,True,G/426/P,TRAPPIST-1e,14.0,False,0.0,0.0,0.0,0.0,0.0,Paulie Stanleyd,True,2625,1,G,426,P,Paulie,Stanleyd,2,0.0,1
2447,2625_02,Earth,False,E/160/P,TRAPPIST-1e,22.0,False,0.0,1.0,271.0,0.0,1348.0,Karlie Stanleyd,False,2625,2,E,160,P,Karlie,Stanleyd,2,1620.0,1
2450,2628_01,Europa,True,A/21/P,55 Cancri e,25.0,False,0.0,0.0,0.0,0.0,0.0,Graviph Amoutake,True,2628,1,A,21,P,Graviph,Amoutake,2,0.0,1
2451,2628_02,Europa,False,A/21/P,55 Cancri e,51.0,False,0.0,6.0,0.0,2085.0,67.0,Sadlam Amoutake,False,2628,2,A,21,P,Sadlam,Amoutake,2,2158.0,1
2463,2645_01,Europa,False,C/95/S,TRAPPIST-1e,55.0,False,0.0,815.0,1558.0,3.0,1334.0,Alrais Fordulgaug,True,2645,1,C,95,S,Alrais,Fordulgaug,5,3710.0,0
2464,2645_02,Europa,False,C/95/S,TRAPPIST-1e,42.0,False,3.0,2174.0,0.0,10860.0,2564.0,Tach Improus,False,2645,2,C,95,S,Tach,Improus,5,15601.0,1
2465,2645_03,Europa,True,C/95/S,TRAPPIST-1e,14.0,False,0.0,0.0,0.0,0.0,0.0,Mariton Improus,True,2645,3,C,95,S,Mariton,Improus,5,0.0,1
2466,2645_04,Europa,False,C/95/S,55 Cancri e,28.0,False,0.0,3053.0,0.0,839.0,2153.0,Meratz Improus,True,2645,4,C,95,S,Meratz,Improus,5,6045.0,1
2467,2645_05,Europa,True,C/95/S,55 Cancri e,26.0,False,0.0,0.0,0.0,0.0,0.0,Mesonon Improus,True,2645,5,C,95,S,Mesonon,Improus,5,0.0,1
2480,2661_01,Earth,False,F/515/S,TRAPPIST-1e,19.0,False,1.0,4.0,0.0,750.0,3.0,Leene Vandan,False,2661,1,F,515,S,Leene,Vandan,2,758.0,1
2481,2661_02,Earth,True,G/423/S,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,Bara Vandan,True,2661,2,G,423,S,Bara,Vandan,2,0.0,1
2485,2666_01,Mars,True,E/184/S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Rank Curle,False,2666,1,E,184,S,Rank,Curle,2,0.0,1
2486,2666_02,Mars,False,E/184/S,55 Cancri e,18.0,False,1874.0,0.0,260.0,0.0,0.0,All Curle,False,2666,2,E,184,S,All,Curle,2,2134.0,1
2487,2668_01,Earth,False,F/516/S,55 Cancri e,23.0,False,29.0,34.0,1.0,2838.0,0.0,Jacki Ingston,False,2668,1,F,516,S,Jacki,Ingston,2,2902.0,1
2488,2668_02,Earth,False,G/424/S,55 Cancri e,34.0,False,0.0,382.0,0.0,87.0,236.0,Adamie Ingston,False,2668,2,G,424,S,Adamie,Ingston,2,705.0,1
2506,2693_01,Europa,False,A/22/P,TRAPPIST-1e,57.0,False,0.0,1514.0,0.0,72.0,1393.0,Krab Pentical,False,2693,1,A,22,P,Krab,Pentical,4,2979.0,0
2507,2693_02,Europa,False,A/22/P,55 Cancri e,36.0,True,11.0,79.0,0.0,210.0,1895.0,Jabbab Geousty,False,2693,2,A,22,P,Jabbab,Geousty,4,2195.0,1
2508,2693_03,Europa,False,A/22/P,TRAPPIST-1e,55.0,False,0.0,846.0,0.0,263.0,2024.0,Castram Geousty,False,2693,3,A,22,P,Castram,Geousty,4,3133.0,1
2509,2693_04,Europa,True,A/22/P,55 Cancri e,,False,0.0,0.0,0.0,0.0,0.0,Mirfark Geousty,False,2693,4,A,22,P,Mirfark,Geousty,4,0.0,1
2519,2707_01,Europa,False,B/103/S,TRAPPIST-1e,58.0,False,1113.0,1650.0,0.0,194.0,510.0,Ziba Belstrut,True,2707,1,B,103,S,Ziba,Belstrut,2,3467.0,1
2520,2707_02,Europa,True,B/103/S,PSO J318.5-22,29.0,False,0.0,0.0,0.0,0.0,0.0,Misa Belstrut,True,2707,2,B,103,S,Misa,Belstrut,2,0.0,1
2522,2709_01,Mars,True,F/523/S,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,Pies Welto,True,2709,1,F,523,S,Pies,Welto,4,0.0,1
2523,2709_02,Mars,False,F/523/S,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Relix Welto,True,2709,2,F,523,S,Relix,Welto,4,0.0,1
2524,2709_03,Mars,False,F/523/S,,33.0,False,361.0,0.0,381.0,1622.0,0.0,Rana Welto,False,2709,3,F,523,S,Rana,Welto,4,2364.0,1
2525,2709_04,Mars,False,F/523/S,TRAPPIST-1e,12.0,,0.0,0.0,0.0,0.0,0.0,Worms Ble,True,2709,4,F,523,S,Worms,Ble,4,0.0,0
2531,2720_01,Earth,False,G/439/P,PSO J318.5-22,23.0,False,171.0,2373.0,1.0,30.0,985.0,Felice Beckeey,False,2720,1,G,439,P,Felice,Beckeey,3,3560.0,1
2532,2720_02,Earth,False,G/439/P,TRAPPIST-1e,11.0,False,0.0,0.0,0.0,0.0,0.0,Rancy Beckeey,False,2720,2,G,439,P,Rancy,Beckeey,3,0.0,1
2533,2720_03,Earth,True,G/439/P,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Noria Beckeey,True,2720,3,G,439,P,Noria,Beckeey,3,0.0,1
2536,2723_01,Europa,True,C/99/S,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,Bosonan Boderbint,True,2723,1,C,99,S,Bosonan,Boderbint,2,0.0,1
2537,2723_02,Europa,False,C/99/S,TRAPPIST-1e,54.0,False,0.0,5876.0,0.0,0.0,914.0,Dabiton Boderbint,True,2723,2,C,99,S,Dabiton,Boderbint,2,6790.0,1
2538,2724_01,Mars,True,F/564/P,55 Cancri e,17.0,False,0.0,0.0,0.0,0.0,0.0,Swack Merte,True,2724,1,F,564,P,Swack,Merte,2,0.0,1
2539,2724_02,Mars,False,F/564/P,TRAPPIST-1e,48.0,False,1200.0,0.0,38.0,48.0,0.0,Manth Merte,False,2724,2,F,564,P,Manth,Merte,2,1286.0,1
2544,2730_01,,True,G/433/S,TRAPPIST-1e,52.0,False,0.0,0.0,0.0,0.0,0.0,Royce Douglasen,True,2730,1,G,433,S,Royce,Douglasen,3,0.0,1
2545,2730_02,Earth,False,F/527/S,TRAPPIST-1e,16.0,False,0.0,1115.0,0.0,1674.0,132.0,Candra Douglasen,False,2730,2,F,527,S,Candra,Douglasen,3,2921.0,1
2546,2730_03,Earth,True,G/433/S,TRAPPIST-1e,16.0,False,0.0,,0.0,0.0,0.0,Elancy Douglasen,True,2730,3,G,433,S,Elancy,Douglasen,3,0.0,1
2547,2732_01,Earth,True,G/435/S,55 Cancri e,16.0,,0.0,0.0,0.0,0.0,0.0,Molley Hurles,True,2732,1,G,435,S,Molley,Hurles,2,0.0,1
2548,2732_02,Earth,False,G/435/S,55 Cancri e,6.0,False,0.0,0.0,0.0,0.0,0.0,Jilly Hurles,False,2732,2,G,435,S,Jilly,Hurles,2,0.0,1
2551,2737_01,Europa,False,C/100/S,55 Cancri e,45.0,False,0.0,726.0,0.0,281.0,1257.0,Naschab Forous,True,2737,1,C,100,S,Naschab,Forous,2,2264.0,0
2552,2737_02,Europa,False,C/100/S,TRAPPIST-1e,26.0,False,2381.0,1772.0,0.0,0.0,2618.0,Giedia Arterate,False,2737,2,C,100,S,Giedia,Arterate,2,6771.0,0
2564,2752_01,Earth,False,G/444/P,TRAPPIST-1e,9.0,False,0.0,0.0,0.0,0.0,0.0,Jarena Ballocks,False,2752,1,G,444,P,Jarena,Ballocks,3,0.0,1
2565,2752_02,Earth,True,G/444/P,PSO J318.5-22,,False,0.0,0.0,0.0,0.0,0.0,Ollip Ballocks,False,2752,2,G,444,P,Ollip,Ballocks,3,0.0,1
2566,2752_03,Earth,False,E/165/P,TRAPPIST-1e,58.0,False,0.0,82.0,0.0,758.0,0.0,Thel Ballocks,True,2752,3,E,165,P,Thel,Ballocks,3,840.0,1
2573,2760_01,Earth,,G/438/S,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,Matty Rigginsen,False,2760,1,G,438,S,Matty,Rigginsen,3,0.0,1
2574,2760_02,Earth,True,G/438/S,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,,False,2760,2,G,438,S,,,3,0.0,0
2575,2760_03,Earth,True,G/438/S,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Chery Rigginsen,True,2760,3,G,438,S,Chery,Rigginsen,3,0.0,1
2576,2762_01,Earth,False,G/439/S,TRAPPIST-1e,36.0,False,625.0,0.0,260.0,0.0,0.0,Bobina Leonzaley,False,2762,1,G,439,S,Bobina,Leonzaley,2,885.0,1
2577,2762_02,Earth,False,G/439/S,55 Cancri e,15.0,False,254.0,0.0,10.0,180.0,0.0,Paulah Leonzaley,False,2762,2,G,439,S,Paulah,Leonzaley,2,444.0,1
2581,2768_01,Earth,False,F/533/S,TRAPPIST-1e,36.0,False,123.0,3.0,,7.0,0.0,Herina Cartz,True,2768,1,F,533,S,Herina,Cartz,3,133.0,1
2582,2768_02,Earth,False,G/442/S,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Raceky Cartz,False,2768,2,G,442,S,Raceky,Cartz,3,0.0,1
2583,2768_03,Earth,True,G/442/S,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,Doryn Cartz,False,2768,3,G,442,S,Doryn,Cartz,3,0.0,1
2588,2774_01,Earth,False,F/575/P,TRAPPIST-1e,29.0,False,3.0,0.0,3.0,0.0,697.0,Coreen Bushins,False,2774,1,F,575,P,Coreen,Bushins,3,703.0,1
2589,2774_02,Earth,False,F/575/P,TRAPPIST-1e,17.0,False,0.0,1195.0,31.0,0.0,0.0,Crisey Mcbriddley,False,2774,2,F,575,P,Crisey,Mcbriddley,3,1226.0,0
2590,2774_03,Earth,False,F/575/P,TRAPPIST-1e,13.0,False,412.0,4.0,0.0,0.0,551.0,Aleroy Bushins,False,2774,3,F,575,P,Aleroy,Bushins,3,967.0,1
2591,2778_01,Mars,False,D/82/P,TRAPPIST-1e,35.0,,2301.0,0.0,414.0,,0.0,Gorice Fisty,True,2778,1,D,82,P,Gorice,Fisty,2,2715.0,1
2592,2778_02,Mars,True,F/576/P,55 Cancri e,53.0,False,,0.0,0.0,0.0,0.0,Yogal Fisty,True,2778,2,F,576,P,Yogal,Fisty,2,0.0,1
2595,2783_01,Europa,True,D/83/P,55 Cancri e,21.0,False,0.0,0.0,0.0,0.0,0.0,Alteron Emetillove,True,2783,1,D,83,P,Alteron,Emetillove,2,0.0,1
2596,2783_02,Europa,False,D/83/P,55 Cancri e,29.0,False,2.0,8.0,0.0,2864.0,155.0,Gatrin Emetillove,False,2783,2,D,83,P,Gatrin,Emetillove,2,3029.0,1
2603,2790_01,Europa,True,B/86/P,55 Cancri e,23.0,,0.0,0.0,0.0,0.0,0.0,Asch Simous,True,2790,1,B,86,P,Asch,Simous,5,0.0,1
2604,2790_02,Europa,False,B/86/P,55 Cancri e,41.0,False,0.0,320.0,4333.0,1313.0,51.0,Cheliak Simous,False,2790,2,B,86,P,Cheliak,Simous,5,6017.0,1
2605,2790_03,Europa,False,B/86/P,TRAPPIST-1e,29.0,False,3.0,933.0,0.0,674.0,731.0,Izarino Simous,False,2790,3,B,86,P,Izarino,Simous,5,2341.0,1
2606,2790_04,Europa,False,B/86/P,55 Cancri e,54.0,False,0.0,37.0,0.0,4689.0,0.0,Tarrak Simous,False,2790,4,B,86,P,Tarrak,Simous,5,4726.0,1
2607,2790_05,Europa,False,B/86/P,55 Cancri e,43.0,False,0.0,9923.0,660.0,10.0,266.0,Zaninon Simous,True,2790,5,B,86,P,Zaninon,Simous,5,10859.0,1
2610,2795_01,Europa,False,C/103/S,TRAPPIST-1e,34.0,False,10.0,5659.0,15.0,3.0,0.0,Genons Brantcable,True,2795,1,C,103,S,Genons,Brantcable,2,5687.0,1
2611,2795_02,Europa,False,C/103/S,TRAPPIST-1e,42.0,False,0.0,802.0,0.0,2622.0,671.0,Bottom Brantcable,False,2795,2,C,103,S,Bottom,Brantcable,2,4095.0,1
2614,2798_01,Europa,False,A/23/P,TRAPPIST-1e,37.0,False,6.0,437.0,,54.0,3030.0,Furudra Timleplet,False,2798,1,A,23,P,Furudra,Timleplet,2,3527.0,1
2615,2798_02,Europa,True,A/23/P,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,Menchah Timleplet,True,2798,2,A,23,P,Menchah,Timleplet,2,0.0,1
2616,2799_01,Earth,False,G/447/S,TRAPPIST-1e,21.0,False,3.0,0.0,0.0,881.0,0.0,Idace Barrilloney,False,2799,1,G,447,S,Idace,Barrilloney,2,884.0,1
2617,2799_02,,True,G/447/S,PSO J318.5-22,23.0,False,0.0,0.0,0.0,0.0,0.0,Sony Barrilloney,True,2799,2,G,447,S,Sony,Barrilloney,2,0.0,1
2622,2807_01,Earth,False,E/171/P,TRAPPIST-1e,33.0,False,0.0,0.0,154.0,22.0,820.0,Rancy Vincenton,False,2807,1,E,171,P,Rancy,Vincenton,3,996.0,1
2623,2807_02,Earth,True,G/452/P,PSO J318.5-22,24.0,False,0.0,0.0,0.0,0.0,0.0,Craine Vincenton,False,2807,2,G,452,P,Craine,Vincenton,3,0.0,1
2624,2807_03,Earth,True,G/452/P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Wenten Monrad,True,2807,3,G,452,P,Wenten,Monrad,3,0.0,0
2632,2818_01,Mars,False,F/585/P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Krus Betie,True,2818,1,F,585,P,Krus,Betie,3,0.0,1
2633,2818_02,Mars,True,F/585/P,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,Corse Betie,True,2818,2,F,585,P,Corse,Betie,3,0.0,1
2634,2818_03,Mars,False,F/585/P,TRAPPIST-1e,24.0,False,165.0,0.0,981.0,2.0,0.0,Wifel Betie,True,2818,3,F,585,P,Wifel,Betie,3,1148.0,1
2638,2822_01,,True,G/450/S,55 Cancri e,3.0,False,0.0,0.0,,0.0,0.0,Patsya Harverez,True,2822,1,G,450,S,Patsya,Harverez,5,0.0,1
2639,2822_02,Earth,,G/450/S,TRAPPIST-1e,5.0,,0.0,0.0,0.0,0.0,,Salley Harverez,False,2822,2,G,450,S,Salley,Harverez,5,0.0,1
2640,2822_03,Earth,True,G/450/S,55 Cancri e,3.0,False,0.0,,0.0,0.0,0.0,Rayne Harverez,True,2822,3,G,450,S,Rayne,Harverez,5,0.0,1
2641,2822_04,Earth,True,G/450/S,,18.0,False,0.0,0.0,0.0,0.0,0.0,Annaha Harverez,True,2822,4,G,450,S,Annaha,Harverez,5,0.0,1
2642,2822_05,,True,G/450/S,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,Melvia Harverez,False,2822,5,G,450,S,Melvia,Harverez,5,0.0,1
2646,2826_01,Europa,False,C/96/P,55 Cancri e,28.0,False,1581.0,213.0,0.0,18.0,3051.0,Teron Pabler,False,2826,1,C,96,P,Teron,Pabler,2,4863.0,1
2647,2826_02,Europa,False,C/96/P,TRAPPIST-1e,49.0,False,20.0,6807.0,174.0,3538.0,2473.0,Terops Pabler,False,2826,2,C,96,P,Terops,Pabler,2,13012.0,1
2648,2831_01,Europa,False,D/86/P,TRAPPIST-1e,23.0,False,0.0,824.0,0.0,495.0,1479.0,Weznif Fandomatty,True,2831,1,D,86,P,Weznif,Fandomatty,2,2798.0,0
2649,2831_02,Europa,False,D/86/P,TRAPPIST-1e,19.0,False,0.0,1.0,0.0,2085.0,55.0,Naviton Impress,False,2831,2,D,86,P,Naviton,Impress,2,2141.0,0
2665,2858_01,Europa,True,C/109/S,TRAPPIST-1e,36.0,False,0.0,0.0,0.0,0.0,0.0,Iononus Fictful,True,2858,1,C,109,S,Iononus,Fictful,3,0.0,1
2666,2858_02,Europa,True,C/109/S,TRAPPIST-1e,16.0,False,0.0,0.0,0.0,0.0,0.0,Mesatik Fictful,True,2858,2,C,109,S,Mesatik,Fictful,3,0.0,1
2667,2858_03,Europa,True,C/109/S,TRAPPIST-1e,40.0,False,0.0,,0.0,0.0,0.0,Dilath Fictful,True,2858,3,C,109,S,Dilath,Fictful,3,0.0,1
2673,2865_01,Mars,False,D/88/P,TRAPPIST-1e,34.0,False,2904.0,23.0,7.0,0.0,81.0,Goos Corie,False,2865,1,D,88,P,Goos,Corie,2,3015.0,1
2674,2865_02,Mars,False,D/88/P,TRAPPIST-1e,53.0,False,520.0,0.0,442.0,0.0,0.0,Hammet Corie,True,2865,2,D,88,P,Hammet,Corie,2,962.0,1
2676,2867_01,Mars,False,D/89/P,TRAPPIST-1e,41.0,False,71.0,0.0,1617.0,31.0,0.0,Smats Bane,False,2867,1,D,89,P,Smats,Bane,2,1719.0,1
2677,2867_02,Mars,False,E/176/P,TRAPPIST-1e,51.0,False,819.0,4.0,92.0,38.0,0.0,Trisp Bane,False,2867,2,E,176,P,Trisp,Bane,2,953.0,1
2680,2871_01,Europa,True,B/88/P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,,0.0,Acruxon Unregul,True,2871,1,B,88,P,Acruxon,Unregul,2,0.0,1
2681,2871_02,Europa,True,B/88/P,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,Sarthim Unregul,True,2871,2,B,88,P,Sarthim,Unregul,2,0.0,1
2695,2890_01,Europa,False,B/89/P,TRAPPIST-1e,44.0,False,0.0,351.0,0.0,3.0,3447.0,Jabbab Cattyried,False,2890,1,B,89,P,Jabbab,Cattyried,2,3801.0,1
2696,2890_02,Europa,True,B/89/P,TRAPPIST-1e,36.0,False,0.0,0.0,0.0,0.0,0.0,Suhain Cattyried,True,2890,2,B,89,P,Suhain,Cattyried,2,0.0,1
2698,2892_01,Earth,False,G/469/P,PSO J318.5-22,3.0,False,0.0,0.0,0.0,0.0,0.0,Glena Coolerson,True,2892,1,G,469,P,Glena,Coolerson,5,0.0,1
2699,2892_02,Earth,True,G/469/P,55 Cancri e,12.0,False,0.0,0.0,0.0,0.0,0.0,Benry Gallenry,False,2892,2,G,469,P,Benry,Gallenry,5,0.0,1
2700,2892_03,Earth,True,G/469/P,55 Cancri e,0.0,False,0.0,0.0,0.0,0.0,0.0,Sharie Gallenry,True,2892,3,G,469,P,Sharie,Gallenry,5,0.0,1
2701,2892_04,Earth,False,F/598/P,TRAPPIST-1e,29.0,False,0.0,1311.0,0.0,0.0,0.0,Kendre Coolerson,False,2892,4,F,598,P,Kendre,Coolerson,5,1311.0,1
2702,2892_05,Earth,False,G/469/P,TRAPPIST-1e,9.0,False,0.0,0.0,0.0,0.0,0.0,Wilmay Coolerson,False,2892,5,G,469,P,Wilmay,Coolerson,5,0.0,1
2708,2901_01,Earth,False,F/601/P,TRAPPIST-1e,16.0,False,0.0,20.0,0.0,300.0,681.0,Jeanna Vandez,False,2901,1,F,601,P,Jeanna,Vandez,2,1001.0,1
2709,2901_02,Earth,False,F/601/P,PSO J318.5-22,24.0,False,,2.0,25.0,,707.0,Loisey Vandez,True,2901,2,F,601,P,Loisey,Vandez,2,734.0,1
2714,2908_01,Earth,False,G/464/S,,0.0,False,0.0,0.0,0.0,0.0,0.0,Nica Berreranks,False,2908,1,G,464,S,Nica,Berreranks,2,0.0,1
2715,2908_02,,False,F/553/S,TRAPPIST-1e,13.0,False,649.0,2.0,0.0,124.0,143.0,Benda Berreranks,False,2908,2,F,553,S,Benda,Berreranks,2,918.0,1
